DATE,LOCAL.TIME..SENSOR.,COUNTLINENAME,DIRECTION,CAR,PEDESTRIAN,CYCLIST,MOTORBIKE,BUS,OGV1,OGV2,LGV,DAY
2021-05-14T00:00:00Z,2021-05-14T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,164,6,0,0,0,0,0,Fri
2021-05-14T00:00:00Z,2021-05-14T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,385,6,2,0,0,0,0,Fri
2021-05-14T00:00:00Z,2021-05-14T01:00:00Z,LBS15_ButterHill_Road_S53,out,2082,27,103,62,12,10,1,323,Fri
2021-05-15T00:00:00Z,2021-05-15T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,2,115,5,1,0,0,0,1,Sat
2021-05-15T00:00:00Z,2021-05-15T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,4,125,7,1,0,0,0,0,Sat
2021-05-15T00:00:00Z,2021-05-15T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,0,228,11,1,0,0,0,0,Sat
2021-05-15T00:00:00Z,2021-05-15T01:00:00Z,LBS15_ButterHill_Road_S53,in,1609,49,61,47,0,1,0,206,Sat
2021-05-15T00:00:00Z,2021-05-15T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,0,88,17,1,0,0,0,0,Sat
2021-05-15T00:00:00Z,2021-05-15T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,113,2,0,0,0,0,0,Sat
2021-05-15T00:00:00Z,2021-05-15T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,232,5,0,0,0,0,0,Sat
2021-05-15T00:00:00Z,2021-05-15T01:00:00Z,LBS15_ButterHill_Road_S53,out,1620,19,64,40,7,3,1,159,Sat
2021-05-16T00:00:00Z,2021-05-16T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,1,105,6,3,0,0,0,1,Sun
2021-05-16T00:00:00Z,2021-05-16T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,4,94,7,0,0,0,0,0,Sun
2021-05-16T00:00:00Z,2021-05-16T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,0,192,6,2,0,0,0,0,Sun
2021-05-16T00:00:00Z,2021-05-16T01:00:00Z,LBS15_ButterHill_Road_S53,in,1178,37,54,20,0,0,0,147,Sun
2021-05-16T00:00:00Z,2021-05-16T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,73,5,0,0,0,0,0,Sun
2021-05-16T00:00:00Z,2021-05-16T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,94,1,1,0,0,0,0,Sun
2021-05-16T00:00:00Z,2021-05-16T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,183,6,2,0,0,0,0,Sun
2021-05-16T00:00:00Z,2021-05-16T01:00:00Z,LBS15_ButterHill_Road_S53,out,1116,3,41,19,2,4,0,110,Sun
2021-05-17T00:00:00Z,2021-05-17T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,4,189,13,0,0,0,0,1,Mon
2021-05-17T00:00:00Z,2021-05-17T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,4,96,1,0,0,0,0,0,Mon
2021-05-17T00:00:00Z,2021-05-17T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,7,351,17,5,0,0,0,0,Mon
2021-05-17T00:00:00Z,2021-05-17T01:00:00Z,LBS15_ButterHill_Road_S53,in,2032,48,76,38,1,12,0,422,Mon
2021-05-17T00:00:00Z,2021-05-17T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,182,28,4,0,0,0,0,Mon
2021-05-17T00:00:00Z,2021-05-17T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,128,2,1,0,0,0,0,Mon
2021-05-17T00:00:00Z,2021-05-17T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,309,4,2,0,0,0,0,Mon
2021-05-17T00:00:00Z,2021-05-17T01:00:00Z,LBS15_ButterHill_Road_S53,out,1925,13,76,28,10,7,1,309,Mon
2021-05-18T00:00:00Z,2021-05-18T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,3,175,17,0,0,0,0,0,Tue
2021-05-18T00:00:00Z,2021-05-18T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,3,99,3,0,0,0,0,1,Tue
2021-05-18T00:00:00Z,2021-05-18T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,2,348,19,1,0,0,0,0,Tue
2021-05-18T00:00:00Z,2021-05-18T01:00:00Z,LBS15_ButterHill_Road_S53,in,2098,42,107,28,5,7,0,456,Tue
2021-05-18T00:00:00Z,2021-05-18T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,187,28,0,0,0,0,0,Tue
2021-05-18T00:00:00Z,2021-05-18T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,109,5,0,0,0,0,0,Tue
2021-05-18T00:00:00Z,2021-05-18T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,290,8,3,0,0,0,0,Tue
2021-05-18T00:00:00Z,2021-05-18T01:00:00Z,LBS15_ButterHill_Road_S53,out,1870,23,90,28,18,6,0,314,Tue
2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,2,174,14,0,0,0,0,0,Wed
2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,4,119,0,0,0,0,0,0,Wed
