UTC Time,Local Time (Sensor),countlineId,countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,cars
09/09/2021 00:00,09/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,22,20,1,1,0,0,0,4,,
10/09/2021 00:00,10/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,36,50,3,3,0,0,0,8,,in
10/09/2021 00:00,10/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,35,62,4,1,1,0,0,12,,
11/09/2021 00:00,11/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,56,22,3,5,0,0,0,5,,in
11/09/2021 00:00,11/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,38,23,2,3,0,0,0,4,,
12/09/2021 00:00,12/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,148,40,4,4,0,0,2,7,,in
12/09/2021 00:00,12/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,24,35,2,13,0,0,0,5,,
13/09/2021 00:00,13/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,37,19,2,2,0,1,0,10,,in
13/09/2021 00:00,13/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,36,7,6,0,1,0,11,,
14/09/2021 00:00,14/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,38,16,0,1,0,0,0,19,,in
14/09/2021 00:00,14/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,33,25,1,1,0,1,0,5,,
15/09/2021 00:00,15/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,41,22,1,2,0,1,0,10,,in
15/09/2021 00:00,15/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,24,1,2,0,1,0,5,,
16/09/2021 00:00,16/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,65,15,2,2,0,0,0,23,,in
16/09/2021 00:00,16/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,16,1,2,0,0,0,6,,
17/09/2021 00:00,17/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,40,22,3,3,0,0,0,4,,in
17/09/2021 00:00,17/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,36,26,0,4,0,0,0,6,,
18/09/2021 00:00,18/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,71,39,7,1,0,0,1,5,,in
18/09/2021 00:00,18/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,38,49,1,2,0,0,0,7,,
19/09/2021 00:00,19/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,79,18,3,2,0,0,0,20,,in
19/09/2021 00:00,19/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,31,20,0,2,0,0,0,8,,
20/09/2021 00:00,20/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,82,22,0,2,0,1,0,4,,in
20/09/2021 00:00,20/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,27,0,4,0,1,0,6,,
21/09/2021 00:00,21/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,47,24,3,2,0,0,0,8,,in
21/09/2021 00:00,21/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,31,36,4,3,0,0,0,9,,
22/09/2021 00:00,22/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,33,13,3,0,0,0,0,9,,out
22/09/2021 00:00,22/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,35,19,2,0,0,0,0,10,,
23/09/2021 00:00,23/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,29,14,2,2,0,0,0,6,,in
23/09/2021 00:00,23/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,21,0,2,0,0,0,8,,
24/09/2021 00:00,24/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,34,17,1,2,1,0,0,9,,in
24/09/2021 00:00,24/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,18,2,0,0,0,0,11,,
25/09/2021 00:00,25/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,55,22,0,2,0,0,0,7,,in
25/09/2021 00:00,25/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,28,0,1,0,0,0,7,,
