UTC Time,Local Time (Sensor),countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,
22/10/2021 14:00,22/10/2021 15:00,L16_ApeldoornDr_road_and_paths_s144,in,4,1,0,0,0,0,0,0,,
22/10/2021 14:00,22/10/2021 15:00,L16_ApeldoornDr_road_and_paths_s144,out,1,0,0,0,0,0,0,0,,
22/10/2021 14:15,22/10/2021 15:15,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 14:15,22/10/2021 15:15,L16_ApeldoornDr_road_and_paths_s144,out,1,1,0,0,0,0,0,0,,
22/10/2021 14:30,22/10/2021 15:30,L16_ApeldoornDr_road_and_paths_s144,in,4,0,0,0,0,0,0,0,,
22/10/2021 14:30,22/10/2021 15:30,L16_ApeldoornDr_road_and_paths_s144,out,0,1,0,0,0,0,0,0,,
22/10/2021 14:45,22/10/2021 15:45,L16_ApeldoornDr_road_and_paths_s144,in,9,0,0,0,0,0,0,0,,
22/10/2021 14:45,22/10/2021 15:45,L16_ApeldoornDr_road_and_paths_s144,out,1,0,0,0,0,0,0,1,,
22/10/2021 15:00,22/10/2021 16:00,L16_ApeldoornDr_road_and_paths_s144,in,0,1,0,0,0,0,0,1,,
22/10/2021 15:00,22/10/2021 16:00,L16_ApeldoornDr_road_and_paths_s144,out,0,1,0,0,0,0,0,1,,
22/10/2021 15:15,22/10/2021 16:15,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 15:15,22/10/2021 16:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 15:30,22/10/2021 16:30,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 15:30,22/10/2021 16:30,L16_ApeldoornDr_road_and_paths_s144,out,2,0,0,0,0,0,0,0,,
22/10/2021 15:45,22/10/2021 16:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 15:45,22/10/2021 16:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 16:00,22/10/2021 17:00,L16_ApeldoornDr_road_and_paths_s144,in,2,0,0,0,0,0,0,0,,
22/10/2021 16:00,22/10/2021 17:00,L16_ApeldoornDr_road_and_paths_s144,out,2,0,0,0,0,0,0,0,,
22/10/2021 16:15,22/10/2021 17:15,L16_ApeldoornDr_road_and_paths_s144,in,2,0,0,0,0,0,0,0,,
22/10/2021 16:15,22/10/2021 17:15,L16_ApeldoornDr_road_and_paths_s144,out,1,0,0,0,0,0,0,0,,
22/10/2021 16:30,22/10/2021 17:30,L16_ApeldoornDr_road_and_paths_s144,in,1,0,1,0,0,0,0,0,,
22/10/2021 16:30,22/10/2021 17:30,L16_ApeldoornDr_road_and_paths_s144,out,0,1,0,0,0,0,0,0,,
22/10/2021 16:45,22/10/2021 17:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 16:45,22/10/2021 17:45,L16_ApeldoornDr_road_and_paths_s144,out,1,1,0,0,0,0,0,0,,
22/10/2021 17:00,22/10/2021 18:00,L16_ApeldoornDr_road_and_paths_s144,in,2,2,0,1,0,0,0,0,,
22/10/2021 17:00,22/10/2021 18:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,1,0,0,0,0,,
